postcode,name
3101,Cotham
3102,Kew East
3103,Balwyn
3104,Balwyn North
3105,Bulleen
3106,Templestowe
3107,Templestowe Lower
3108,Doncaster
3109,Doncaster East
3121,Burnley
3122,Auburn South
3123,Auburn
3124,Camberwell
3125,Burwood
3126,Camberwell East
3127,Mont Albert
3128,Box Hill
3129,Box Hill North
3130,Blackburn
3141,South Yarra
3142,Hawksburn
3143,Armadale
3144,Kooyong
3144,Kooyong
3145,Caulfield East
3161,Caulfield Junction
3181,Prahran
3162,Caulfield
3163,Carnegie
3165,Bentleigh East
3166,Hughesdale
3167,Oakleigh South
3168,Clayton
3169,Clarinda
3172,Dingley Village
3173,Keysborough
3185,Elsternwick
3186,Brighton
3187,Brighton East
3188,Hampton
3189,Moorabbin
3190,Highett
3191,Sandringham
3192,Cheltenham
3193,Beaumaris
3194,Mentone
3195,Aspendale
3196,Bonbeach
3197,Carrum
3202,Heatherton
3204,Bentleigh
3800,Monash University
3170,Mulgrave
3171,Sandown Village
3174,Noble Park
3175,Bangholme
3177,Doveton
3781,Cockatoo
3782,Avonsleigh
3783,Gembrook
3802,Endeavour Hills
3803,Hallam
3805,Fountain Gate
3806,Berwick
3807,Beaconsfield
3808,Beaconsfield Upper
3808,Beaconsfield Upper
3809,Officer
3810,Pakenham
3810,Pakenham
3812,Maryknoll
3813,Tynong
3814,Cora Lynn
3815,Bunyip
3975,Lynbrook
3976,Hampton Park
3977,Botanic Ridge
3978,Cardinia
3980,Blind Bight
3981,Bayles
